Count,Tradelist Count,Name,Foil,Textless,Promo,Signed,Edition,Condition,Language,Card Number
2,0,Ancestral Vengeance,,,,,Fate Reforged,,English,61
6,0,Douse in Gloom,,,,,Fate Reforged,,English,68
4,0,Hooded Assassin,,,,,Fate Reforged,,English,73
5,0,Sultai Emissary,,,,,Fate Reforged,,English,85
5,0,Sultai Runemark,,,,,Fate Reforged,,English,86
8,0,Tasigur's Cruelty,,,,,Fate Reforged,,English,88
2,0,Typhoid Rats,,,,,Fate Reforged,,English,89
7,0,Bathe in Dragonfire,,,,,Fate Reforged,,English,92
9,0,Defiant Ogre,,,,,Fate Reforged,,English,96
9,0,Fierce Invocation,,,,,Fate Reforged,,English,98
1,0,Gore Swine,,,,,Fate Reforged,,English,103
4,0,Lightning Shrieker,,,,,Fate Reforged,,English,106
3,0,Mardu Runemark,,,,,Fate Reforged,,English,107
5,0,Smoldering Efreet,,,,,Fate Reforged,,English,115
3,0,Ainok Guide,,,,,Fate Reforged,,English,121
2,0,Ambush Krotiq,,,,,Fate Reforged,,English,122
2,0,Archers of Qarsi,,,,,Fate Reforged,,English,124
6,0,Feral Krushok,,,,,Fate Reforged,,English,128
7,0,Formless Nurturing,,,,,Fate Reforged,,English,129
1,0,Frontier Mastodon,,,,,Fate Reforged,,English,130
9,0,Hunt the Weak,,,,,Fate Reforged,,English,133
3,0,Map the Wastes,,,,,Fate Reforged,,English,134
9,0,Return to the Earth,,,,,Fate Reforged,,English,135
7,0,Temur Runemark,,,,,Fate Reforged,,English,140
5,0,Cunning Strike,,,,,Fate Reforged,,English,150
6,0,Ethereal Ambush,,,,,Fate Reforged,,English,152
4,0,Harsh Sustenance,,,,,Fate Reforged,,English,154
4,0,War Flare,,,,,Fate Reforged,,English,158
2,0,Zarichi Tiger,,,,,Gatecrash,,English,28
4,0,Naturalize,,,,,Gatecrash,,English,127
1,0,Feeling of Dread,,,,,Innistrad,,English,14
11,0,Mulch,,,,,Innistrad,,English,196
22,0,Ainok Bond-Kin,,,,,Khans of Tarkir,,English,3
1,0,Alabaster Kirin,,,,,Khans of Tarkir,,English,4
10,0,Kill Shot,,,,,Khans of Tarkir,,English,15
1,0,Mardu Hateblade,,,,,Khans of Tarkir,,English,16
10,0,Mardu Hordechief,,,,,Khans of Tarkir,,English,17
23,0,Salt Road Patrol,,,,,Khans of Tarkir,,English,21
7,0,Smite the Monstrous,,,,,Khans of Tarkir,,English,24
2,0,Embodiment of Spring,,,,,Khans of Tarkir,,English,39
3,0,Force Away,,,,,Khans of Tarkir,,English,40
5,0,Jeskai Windscout,,,,,Khans of Tarkir,,English,44
5,0,Weave Fate,,,,,Khans of Tarkir,,English,61
2,0,Bitter Revelation,,,,,Khans of Tarkir,,English,65
17,0,Disowned Ancestor,,,,,Khans of Tarkir,,English,70
8,0,Bloodfire Expert,,,,,Khans of Tarkir,,English,101
1,0,Bloodfire Mentor,,,,,Khans of Tarkir,,English,102
3,0,Summit Prowler,,,,,Khans of Tarkir,,English,121
4,0,Alpine Grizzly,,,,,Khans of Tarkir,,English,127
3,0,Dragonscale Boon,,,,,Khans of Tarkir,,English,131
12,0,Longshot Squad,,,,,Khans of Tarkir,,English,140
7,0,Savage Punch,,,,,Khans of Tarkir,,English,147
11,0,Abzan Banner,,,,,Khans of Tarkir,,English,215
3,0,Jeskai Banner,,,,,Khans of Tarkir,,English,222
8,0,Temur Banner,,,,,Khans of Tarkir,,English,226
1,0,Pacifism,,,,,Magic 2010,,English,22
4,0,Giant Growth,,,,,Magic 2010,,English,184
3,0,Naturalize,,,,,Magic 2010,,English,195
7,0,Rampant Growth,,,,,Magic 2010,,English,201
2,0,Pacifism,,,,,Magic 2011,,English,23
6,0,Fog,,,,,Magic 2011,,English,173
1,0,Volcanic Strength,,,,,Magic 2013,,English,155
2,0,Centaur Courser,,,,,Magic 2013,,English,164
9,0,Lightning Talons,,,,,Magic 2014 Core Set,,English,144
4,0,Razorfoot Griffin,,,,,Magic 2015 Core Set,,English,27
4,0,Sungrace Pegasus,,,,,Magic 2015 Core Set,,English,38
2,0,Carrion Crow,,,,,Magic 2015 Core Set,,English,88
16,0,Child of Night,,,,,Magic 2015 Core Set,,English,90
6,0,Eternal Thirst,,,,,Magic 2015 Core Set,,English,95
12,0,Flesh to Dust,,,,,Magic 2015 Core Set,,English,98
4,0,Rotfeaster Maggot,,,,,Magic 2015 Core Set,,English,112
6,0,Typhoid Rats,,,,,Magic 2015 Core Set,,English,118
4,0,Borderland Marauder,,,,,Magic 2015 Core Set,,English,131
6,0,Goblin Roughrider,,,,,Magic 2015 Core Set,,English,146
7,0,Lava Axe,,,,,Magic 2015 Core Set,,English,154
2,0,Carnivorous Moss-Beast,,,,,Magic 2015 Core Set,,English,170
7,0,Hunt the Weak,,,,,Magic 2015 Core Set,,English,179
1,0,Titanic Growth,,,,,Magic 2015 Core Set,,English,203
7,0,Revenant,,,,,Magic Origins,,English,117
8,0,Ardent Recruit,,,,,Mirrodin Besieged,,English,2
2,0,Gore-House Chainwalker,,,,,Return to Ravnica,,English,96
1,0,Grisly Salvage,,,,,Return to Ravnica,,English,165
1,0,Naturalize,,,,,Shards of Alara,,English,141
1,0,Plated Geopede,,,,,Zendikar,,English,141
